tamanho,tempo_linhas_s,tempo_colunas_s,erro_maximo
1000,0.004000000000,0.003000000000,0.000000000000e+00
1500,0.008000000000,0.008000000000,0.000000000000e+00
2000,0.014000000000,0.020000000000,0.000000000000e+00
3000,0.031000000000,0.045000000000,0.000000000000e+00
4000,0.050000000000,0.089000000000,0.000000000000e+00
5000,0.080000000000,0.174000000000,0.000000000000e+00
10000,0.411000000000,0.740000000000,0.000000000000e+00
25000,5.271000000000,5.305000000000,0.000000000000e+00
